date_raw	event_raw	sport_raw	location_raw	status_raw	winner_raw	source	source_url	source_table_index	source_heading	source_month	row_order	date	event	sport	location	sort_start_date	sort_end_date	final_row_key	is_valid_final_row	drop_reason	duplicate_exact	duplicate_exact_preferred	keep_final_row
30. Jan. – 1. Feb.	Cyclocross-Weltmeisterschaften	Radsport	Hulst			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	0	Januar		23		Cyclocross-Weltmeisterschaften	Radsport	Hulst				False	unparseable_date	False	False	False
1. Feb. – 5. Feb.	Bahnradsport-Europameisterschaften	Radsport	Konya			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		24		Bahnradsport-Europameisterschaften	Radsport	Konya				False	unparseable_date	False	False	False
1. Feb.	Cadel Evans Great Ocean Road Race	Radsport	Australien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		25		Cadel Evans Great Ocean Road Race	Radsport	Australien				False	unparseable_date	False	False	False
6. Feb. – 8. Feb.	Europameisterschaften der Jugend, Junioren & U21	Karate	Zypern			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		26		Europameisterschaften der Jugend, Junioren & U21	Karate	Zypern				False	unparseable_date	False	False	False
6. Feb. – 22. Feb.	Olympische Winterspiele	Multisportveranstaltung	Mailand Cortina d'Ampezzo			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		27		Olympische Winterspiele	Multisportveranstaltung	Mailand Cortina d'Ampezzo				False	unparseable_date	False	False	False
16. Feb. – 21. Feb.	Halleneuropameisterschaften	Bogenschießen	Plowdiw			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		28		Halleneuropameisterschaften	Bogenschießen	Plowdiw				False	unparseable_date	False	False	False
16. Feb. – 22. Feb.	UAE Tour	Radsport	Vereinigte Arabische Emirate			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		29		UAE Tour	Radsport	Vereinigte Arabische Emirate				False	unparseable_date	False	False	False
20. Feb. – 22. Feb.	Poland Darts Open	Darts	Krakau			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		30		Poland Darts Open	Darts	Krakau				False	unparseable_date	False	False	False
23. Feb. – 7. Mrz.	Juniorenweltmeisterschaften (Slopestyle, Big Air, Halfpipe und Street Style)	Snowboard	Calgary			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		31		Juniorenweltmeisterschaften (Slopestyle, Big Air, Halfpipe und Street Style)	Snowboard	Calgary				False	unparseable_date	False	False	False
25. Feb. – 8. Mrz.	Juniorenweltmeisterschaften	Biathlon	Bayerisch Eisenstein			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		32		Juniorenweltmeisterschaften	Biathlon	Bayerisch Eisenstein				False	unparseable_date	False	False	False
